,tweet
162,The classic ball stuck in the glove gag
170,Denise went from hammers to FTF  what the hell is going on 2020bring her back
171,Lol you right
173,Then the kid with the go ahead single! This is beautiful right now. I know they are going to break my heart later but for now I can be ecstatic
175,If @JeffBezos is exploiting his workers to make billions of dollars and exploit capitalism than why do they work for him?
178,Damn
179,We wish we could be locked down in such a pretty place. Though we have been enjoying da shark week shows that they filled in AUS and NZ during da first lockdown. Da sharks are reclaiming their territory
185,THATS NOT HELPFULSISJNDBD
186,Almost all of Anibal Sanchez's hits give up this season have been extra-base hits.
189,NJ
190,@itsme_mattg whoa! How the hell are you!!
191,niggas b weird
197,Pizza pizza pizza pizza pizza pizza pizza pizza pizza pizza pizza pizza
198,"Sweep, sweep, 6 games, 5 games, maybe a sweep."
201,Bout time Pete didnt try to pull it
203,"Wanna know what else I love and hate? 

My intuition. Lol 

Because sometimes it be spot on and I be so tighttttttttt lol"
214,Thinking six flags one of these days!
219,Oomf vampire??
220,Yessir
222,Sorry Action Jackson but at this point we give him all the smoke he wants no peace bout this at all. Fight fire with fire no more turning cheeks
225,"If it was confidential, how did Simmons get it? It's clear the Leafs, and Matthews in particular, may be more concerned about the media than the on ice play."
231,Bet I gotchu
232,"25: Great free-kick attempt by Elney!! 

0-0 | #NYvLDN | #NYRBII"
235,@CursedBoomers
237,Post a selfie so I can photoshop myself in
243,"24: Foul on Caden Clark. 

0-0 | #NYvLDN | #NYRBII"
247,"#Reds leave the bases loaded... lather, rinse, repeat."
250,Does you preachers still tell you that jesus was crucified ?
254,They wont
266,Mixed feelings...lost in my own thoughts
268,They are a tough watch.
269,NJ
272,17
274,I can steal some for you
276,post malone and kanye lfg
277,What movie?
283,This is getting out of hand if you cannot follow the rules stay home.
289,If i see it ill try it
290,The butt-hurt is real.
295,"no diff than pros team on instagram, in law&crime chat rooms,amazon shopping,playing video games during DT case in chief. Or PT being childish & refusing to move saying to Defense atty ""go around, unless you're afraid of your client?"" IN OPEN COURT #freechase #charlesmerritt"
298,Damian Lillard cool asl
300,You really should look at a chart comparing the unemployment rate over time for Obama vs Trump. Let me know when you find it.
301,Why not Bernell Trammell?
303,Only one? Not fair. I love Labyrinth but I also like Legend.
306,Trump and Shapiro have similar problems it seems
307,"SUB (1/5) 

IN: Alex Bobocea

OUT: Cherif Dieye 

0-0 | #NYvLDN | #NYRBII"
310,nonpet ppl who try to tell pet owners what they should do with their pets are annoying as fuck pls shut up I guarantee the person with the pet knows more about them than you do
312,Sabemos de donde vienen
313,How?
320,Freddy vs. Jason
322,I fucking hate Flo
324,They are making him closer
326,Does COVID make an athlete better?- someone writing an article somewhere rn
330,I think it was more like 666 feet
332,Cleared: Incident on #NJ21 NB at Exit 14 - US 46
334,New Nightmare
338,"14: Red card for Wallis Lapsley. 

0-0 | #NYvLDN | #NYRBII"
339,"My guacamole Recipe:
1&1/2 Avocado
1 lime (juiced)
1/2 lemon (juiced)
Hand full of parsley
1/4 red onion diced
1 teaspoon salt
1 teaspoon black pepper"
342,Me!
343,THE HOTTEST
344,"Remember when you ran against Kamala Harris for District Attorney and you lost?

So maybe this is less a constitutional crisis and more of a big ol' bag of sour grapes with a side of xenophobia."
345,LMAOOOOOOO
346,He is going to haunt the Mets for like 2 decades
352,Respect the queen
356,Gotta screenshot you subscribed to me
357,Carry On gotta be my favorite song to come out this year
362,2
363,@allaboutalysha
365,466 that does not seem right
366,"In all honesty, I don't work well with others."
367,Oh hi Ahmed
368,PATHETIC DESPERATE IDIOT
370,PATHETIC DESPERATE LOSER
371,The irony of your words and your ill proficiency in typing as well as grammar.
373,Almost time. #nyy beat the braves
378,Day 5.  No mail.  No small business pickup #whatsupusps
382,"Yup a blowout 

Gsellman Gsucks"
389,same
390,"And he apologizes to women .... (Multiple women, multiple offenses)"
392,Down all kinds of bad
393,Clearly untrue. You do realize there are websites that track this right?
396,Shits getting out of hand now
398,a/c set at 65 for sleeping in the summer.  Heater is set at 42 in the winter
401,I could pay rent
403,HOPEFULLY!!!!!
405,Looks like you got the bullshit talking points of the day.  Do you know how ridiculous this sounds? Bernie. Elizabeth. Two off the top of my head way more liberal than Kamala. Just stop this nonsense. Desperate. Pathetic.
408,"racism is a system of power, so no Black people can't be racist

ur ""journey"" of unlearning ur anti-blackness doesn't need to be something Black people need to witness at all idk even kno y i have to say it if u want to do something just shhh open ur purse n donate to Black ppl !"
411,"Yes, but only the top. Wear shorts with it."
413,Hahaha holy shit this can not be real uncle joe
418,I smell a blowout
419,Porygon and caterpie
420,VP @JoeBiden please talk about how you will protect Social Security during #DNC2020. This is a top issue for voters 50+. Social Security is a hard-earned benefit and a promise that must be kept. #ProtectVoters50Plus
422,I wouldnt be surprised if the ticket was the waiver. You ever read the back of one of those?
423,"And Trump answers why the Trump Foundation has been found guilty of self-dealing, and violations of the rules of fundraising."
427,Congratulations! Very well deserved
429,Ya really buggin financing a bmw with 160k miles for 400 a month for 72 months with 5k down. Like ya really wanna flex that bad? Have fun flexing on the side of the road.
431,Great. Just enjoying spaghetti for supper
433,"Alex Jones is walking around COVID-ridden Texas without a mask on. Tick-tock, tick-tock."
438,R
442,How do some people not realize how cringe they are?
443,"Off to a flying start 

Mets never comeback so game could be over"
444,Lets hook up
458,And answers for the Trump University scam that operated without an education license contrary to NY state law
460,I did this one first because it will give me the confidence to attempt the diner
461,Yes...
465,very cool!!
468,An itibariyle #dayoff and #offday sjkdldlddkdl
473,Best GIF ever.
477,This is hilariously wrong.
481,u know non-black latinx people sometimes u don't have to say your piecee about issues. Just SHHHHHHH no one needs to read your takes on politics or anything. If you want to call out racism of Black people DON'T it DOESNT WORK THAT WAY JESUS.
487,"how about instead of adding new content, you fix all the issues in the game"
488,Laura Ingram? A cow? Peoplw say such things.
491,Joe and mini chubby me.
497,Reported his tweet omfg these next 83 days are going to feel like an eternity.
501,WHERE'S THE FUCKING LINK?
505,I don't why I never learn. I'll just mind my business.
506,IT'S ALL ABOUT DA MONEYYYYY
510,Everyday i come home light my hookah bunp some old bachatas and take a shower... decompression at its finest
511,Watch stupid trumpers start parroting any nonsensical thing their dear leader says about Kamala!#VoteBidenHarris2020
512,Lmaooo the boys looken at us like some piece of meat were sooo bad
518,Ka
519,#MoscowMitch is supported by Sec of Trans (his wife) Chao from  Chinese factions connected to his wife. He has no idea what the working class need.The fake $400/wk is not enough to live on & they were not even committing that. $300 illegally drawn from FEMA & rest from states
523,Uh oh head of covid task force will contact him pence will demand he do it
525,@thatguyruben
536,And he comes clean about the use of undocumented Polish workers in the 1980s
539,L for Netflix
541,"And answers to the suppliers, contractors, vendors and investors that he screwed in 1991, 1992. 2004 and 2009 when he declared bankruptcy."
542,@MarcusDigital full 5 statements
547,Wish i had a person to do shit with lol
550,"I just watched Happy Days!!! You know, the episode where Fonzie jumps the shark!!! #dontjudgeme"
551,"Dad, what's an AEW?"
552,The differences between all these a7 models is still confusing
555,More like little to no important modes like Street Fighter V's launch
557,2106855011
559,Curious. Because the reality is that the unemployment rate is above 10% at the moment.
565,Enter Cardi B and Megan Thee Stallion
567,And answers for racial housing discrimination suit filed against him and his father in the 70s by the Justice Department
586,Also Matthews this playoffs
596,Like what about that is not free speech?
603,Trump sounds like Elmer Fudd having a stroke.
604,This guy read the constitution. Am waiting for my copy to be signed
605,Must be a slow day to not always be center of attention and your fake victim hood
613,Batman Begins is the best for me
614,HE IS IN THE PENNSYLVANIA ARES ALSO SERBIAN INTEL TOLD ME
617,Hahaha of course.
621,Beautiful race car
622,@Naomibernstein4
625,You are definitely gonna get a nice payday!
626,What exactly does SUITABLE mean
627,Cleared: Incident on #I80 WB at Exit 59 - Market St
639,A+++
642,Hahaha yes!
645,Refresh the page and it takes you right to Biden's.
646,Gorgeous!!!
648,Wow 10s of people !
651,This is why we are ranked 14 in education.
655,Peligrosos esos rojos Yayi
658,No no no i take a pats jersey instead
660,Year 3000
662,"I mean if you limit to no more than 50% plus masks are enforced, i don't see why not"
663,Perdoname la vida
664,Finally caught up on all the great (and very informative) @TheLiveDrop episodes.  Can't wait for more!
665,Awesome!  I have heard the commercial for this radio on WTWW before.  I'm glad to see that you have one.
671,The one with the waterfall at the beginning.
674,Annnnd that gets a follow.
676,at peace with myself.
678,Gym will there be college wrestling soon!
680,Im single :/
683,"COVID 19, Cardinals 0"
684,she big stoopid
686,She said her English is bad because she has a thick accent??? I
701,Pujando en contra?
702,You and I (;
703,Me also
704,@ImMrAllen
715,"Some people say Kayne could go to jail for the kind of electoral fraud he has been using to get on ballots. Now if his wife checked him into the loonie bin, that might get him out of trouble."
716,Why does the media not charge the #TrumpIsANationalDisgrace campaign for his daily televised spot disguised as a virus update. Why is my tax dollar being used for this dog and pony show? His campaign should be paying for this and he should be booking and paying media outlets
717,Meanwhile they offered no alternative
721,Love the hat!
723,No season will play through completion. The virus will end anything scheduled
726,I MET ONE OF THE LARGEST DRUG DEALERS IN SOUTH AMERICA RIGHT IN PASSAIC COUNTY THE FBI WANTED ONCE NAMED PAZ FOR INTERNATIONAL COKE TRAFFICKING ITS A LONG STORY
728,Smoking weed under the sun and writing music is ill rn
729,@ImMrAllen
730,You are citing anecdotal evidence. Again what proof do you have that the methodology of tracking this disease differs from the way it has been handled in any other outbreak. Should I continue to wait for you to find it?
732,@TheoneoriginalB you are really the best!!!
733,The mosquitos are wild this summer
735,Wait until beta 5 next week then update
739,Nada facil ese camino mi lider
748,"Your trash lol love you buddy!!!
You want to caught a fade!!!!"
749,Bring it on!!!
751,Good luck with both and I hope you have a great professor for them!  You'll be interning before you know it!
754,Really*
768,me saindo mt bem em ser ruim em tudo
771,Jajajajajajajajajajajajaja
772,Small and yeah that one is coming soon
774,Ethiopian even better.
777,"Mustafa diye gs li bir papagan cikardi, copy paste sonuc bu."
781,My uncle wasn't on my team the way i was folding some of these mongols from the shadows though lmfao
786,"Yea, corporate shills do be tryna line their pockets with as much money as possible"
794,U go girl
804,"I was supposed to have that really nice hype man Dr. K from the orientation but got professor Dooley as a replacement when he had a medical issue.  Class in question was Teaching for equity and Diversity.  A very important class indeed, it was just handled very...poorly."
805,i promise never to betray you in this way
807,I've donated 3 times in the last 24 hours and I have not gotten the link.
810,Thank you.
811,Love you Madison!
812,"August 11 Covid Deaths:

Germany: 4
USA: 1,334"
814,Please delete
816,Yeah people really think WIT are gods reminds me of when Hunter X Hunter came out and EVERYONE WANTED MADHOUSE TO DO EVERYTHING SHIT WAS ANNOYING
818,Added^^
820,mt linda parabens gasosa d+
821,Anyone know who Barry Davidson is?  No?  Wow. Me neither!!  But let me check Netflix to see if he has accomplished anything there. No. Nada. Should I bother checking Prime?  Yeah. Waste of time. Sad.
823,Really your going to use Neil against me
826,Mickie said your sister Is the  better  cook ohhhh lol
833,bubble gum
834,Could???  You mean would.
839,That was classic pre 2018 Capitals playoff
847,New Jersey
859,"*tour not your
Dang auto correct lmao"
867,New Jersey...
869,"I'm fine with a Nintendo guest row in a way like they did in mario kart 8 even tho I felt the villagers separation was a lil fishy.

Think we just need the next mario kart to have a vast amount of character in the mario universe. Like your but on a home console"
872,Thank you!
873,Jersey in the house lol.
874,One of the better epic latter day tunes
875,With an L
885,I lovingly resent this
889,Idek what it is
894,This shit sucks.
896,Yep!
899,This is disgraceful. We are broken.
901,"Guys please I am not 4 door America Jeep with army star decals and tr*mp flag, I am femboy hooters winch antifa Jeep with tie dye steering wheel cover"
902,"Goldfish definitely, rainbow ones hit different"
904,WOW MY DADS GROWTH OKKK DAD I SEE BETTERING UR OWN MENTAL HEALTH OMG bruh
905,El marrrdito finalalala
909,My first session I didn't cry. In fact for the first 5 I didn't. Number 6 I cried for all but the first 5 minutes and carried on for the next 2 hours. Best thing I ever did was start going.
910,I want a witchy sex worker to be my interior designer. Literally the best taste
914,13
917,"The torture will end in January, Daniel. You won't have to track these lies too much longer."
923,Good luck!  I really hope you have a better professor than I did.  I'll have to tell you about it sometime.
925,Tweet them all
926,They be dying for you to start going through something. We good on this side lmao.
928,Public hanging for this savage
930,$50 giveaway??! Yah want it?
931,"Damn :( well, at least I can be a bright spot in your day"
933,A brown ale?! That's like...daring these days.
941,I hear ya
943,Those private equity giants like blackstone kkr are the biggest parasites in the country
946,I ate the brown part of the banana ONCE and it still keeps me up at night
952,what i do
955,work has me getting mad dark
956,Me too lol
959,i miss my boyfriend. idk what i would do without him.
961,Might be time to yank Holtby. #ALLCAPS
962,To what extent do you think the way the cdc has quantified the mortality and transmission rate of covid 19 differs from their methodology used in quantify the results of past health crises? I believe there is none but if you have evidence to the contrary I will acknowledge it.
963,The swearing stops when the bullshit stops.
966,I cried like a baby!
972,How about you worry about yourself ? How does that sound ?
974,Calling the feds
975,"Play stupid games, win stupid prizes"
977,Save your love I just want your company
978,Some of yall Only Fans chicks have great marketing Strategies i will give you that
985,"So birtherism is coming back, right? Just as racist now as it was then."
986,He cares more about football than the deaths.
991,Same here in wallington not a drop
993,"Nervous to apply for a job like ""Infra Project Manager"" at Cognizant? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #IT #Nutley, NJ"
994,Love it!
995,Hell fucking yes
997,"Las ojeras, si las cortas, vuelven a crecer. Por eso se pueden comprar y vender. Yo tengo unas de Benicio del Toro. Originales."
999,"Pero hasta a los ciudadanos, q si estan infectados no lo va a dejar entrar, donde quedaron los derechos???"
1003,Mike the fight to beat McConnell in KY needs your resources we need him out!!!
1007,Same here
1008,I think Melo snuck in a couple years lol
1010,"On the day that Kamala Harris was introduced as Biden's running mate, Trump looks and sounds pathetic."
1014,So ready!!
1016,The hell? I got it day one and never noticed it.
1020,I have said this !!
1024,Is there something that doesn't needle him? He's the thinnest-skinned bully I've ever seen.
1025,What's it about?
1027,And the stock market keeps going up
1028,And Narcissistic Personality Disorder research.
1031,Eu
1032,"Bra stop sending me ya SoundCloud link, if I fuck with it ima tell u!"
1034,The Trump show is old and tired. It jumped the shark three seasons ago. Time to pull the plug this fall.
1036,I really wish this was a joke.
1037,TOOOkker or is it TUUUUkus
1040,Maybe someone should tell DHS
1043,my 8 year old cousin just said she needs she needs love... girl me and you both
1044,Could see that for $22. Cartridge would go for $5-$8.
1046,Uncle Mo has shifted dramatically here. #Isles
1047,"#GymJordan needs to be sent Ethics for his refusal to participate in Investigation into Sexual Abuse Men at  OHIO STATE COLLEGE,where 
#GymJordan was assist coach @Swim Team. 
#GymHirdanIsPeodeophileProtector"
1051,"Words still matter, recognizing the heroic and ambitious women who came before me, Sen. Kamala Harris, Democratic VP Candidate #KamalaHarris #VPHarris #JoeBiden2020"
1053,Rockets score 33 in the first and 17 in the second. Lol.
1054,VP @JoeBiden please talk about how you will protect Social Security during #DNC2020. This is a top issue for voters 50+. Social Security is a hard-earned benefit and a promise that must be kept. #ProtectVoters50Plus
1055,Done
1056,"Wait, you can open it too?"
1058,"Brent, Meg, Uzi, DON TOLIVER"
1069,I saw someone in a gucci sweat suit it looked dope im like yo i want one let me see wassup... Go online ... check... I x'd dat shit out so fast lmaoo
1076,hmmm idk ericdoa could be cool
1077,"No, thank you very much. Heroes who deserve better."
1085,"What is so wild the this GIF is from the animated short, ""Rebel Rabbit"" that was released on April 9, 1949.

And is so freaking relevant today!!!!"
1092,And even the end music choice was on point
1103,what kinda vibe or sound does it have
1105,Last stop on his way to Smash.
1108,"Totalmente de acuerdo, la rata giraldo es un  petardo como dirigente deportivo, lo mejor es que vuelva a Granada y arre vacas y burros."
1111,Othuna
1112,Nice to see someone as fed up as me these days. Always nice to her you on the @juliemason show today.
1114,Same! Make it make sense!
1115,COORS
1116,People change their opinions. That can happen on their own or through pressure from the constituency. It still happens. Being complacent and pretending anyone running is perfect and worthy of undying adoration is bullshit
1129,"We may have our disagreements, but 1 thing we can agree on..Vote Biden!"
1131,"If you quit once, its becomes a habit. Dont Quit!"
1137,The lengths people go to excuse everything they do lol....
1142,Dame overrated
1144,No debemos imaginar por que es real!!
1145,Because he got covid 19 at Trump's rally
1149,Bro I need a haircut ASAP lmao
1154,"I think so cause they were all tweeting about it the other day, but I'm actually just starting it!"
1166,Then feel free.
1167,"We just heard two people speak in complete sentences. And when they strung them together, they made sense!"
1168,Last chance before the FBI sends him  off to prison maybe?
1170,I need to get a few drinks in me first
1176,God where do I even begin I have like 6 years of ammo
1179,He has a lot of commercial office space?
1184,Tell your followers they have to refresh the page to get to Biden's site.
1187,Thank God im not in school no more
1194,My relationship is toooo private. Yall dont need to know if we seperated or together.
1201,I just be bored on this app
1203,Google it and watch the news
1205,You must get your news from very limited sources. There are numerous stories of bases and ships that have been overrun with the virus.
1209,Refresh the page.
1211,my mom would love for me to go to montclair but i never wanted to go there damn
1213,Wonderful and great speech
1218,Playing golf
1220,it did
1226,Be careful of people complimenting your relationship with second intentions.
1228,We were talking about this last night
1230,I said relocate
1231,Desperately buying votes
1232,Go to hell if you use a large straw in a medium cup
1233,Desperately buying votes
1238,@cliftonnj THANK YOU VERY MUCH CLIFTON NJ FOR CHIPPING IN  TO BUYING ME A NEW REFRIGERATOR! JILL LOUISE STARR 10 LUDDINGTON AVENUE #2 CLIFTON NJ 07011
1239,@JudgeJeanine you said what we are thinking we all think @JoeBiden will not be on the ticket at the end YOU ARE CORRECT you will see he looks week
1242,Thinking about that bish no cap
1243,Yuk
1245,hot and sexy
1246,And Mango Mussolini has turned it into the worst economy since the Great Depression.
1247,I bet you that you don't send your kids to school.
1250,"Listening to Biden and Harris speak just reminded me just how much of politics and media is propaganda and psychological manipulation and that the democrats and republicans are two sides of the same corrupt coin, send tweet"
1251,We love sweat pants hah
1253,"Unless I missed something from Judge Janine and Geraldo, is FOX News planning to harm Joe Biden before the election?"
1256,Ready when you are
1262,No.  Ian asked me to print out 20 fliers.
1263,Sounds lit
1264,Can we make them that instead?
1266,Beta 5 not out
1267,Random shit bro I be all over the place
1270,The president
1273,Why do bimbos asks silly questions.?
1275,Give it to em
1276,In the mood for some rumpy pumpy
1284,Darren you damn well know if players were allowed to do that then their schools would be forced to start their respective programs bc no schools letting all that money and talent just walk out the door
1288,The last all star were have produced
1290,You got 40-50 scrimmages until it matters!
1292,Super & Size
1297,"Does anyone know of any RA jobs in the NYC area? I have a BS in biology & working on my MA in Psych Science. 1 yr of experience in developmental neuroscience lab, 1 yr of experience in neuropsychology lab. Interested in eating disorders & obesity!"
1301,"So, in the face of an abundance of evidence of situations like this muddying any ability to contextualize what is happening outside of their own group, most BLM chapters comment on general tactics/goals and neither support nor condemn specific stories they of other areas."
1307,The perfect musical intersection of narcissistic longing and xenophobia!
1314,#Isles needed that one. Back to within 1.
1315,Dump will get so unhinged in next talk the angrier he gets shows how afraid he is
1319,people really just continue to appropriate other cultures and religions and act like they did something huh
1322,"I dont know, but it should be."
1323,Partidazo de Neymar !!!
1334,"You're on the wrong side of history, wonder what you'll say to your grand kids in future!"
1340,So teary! That was amazing!
1341,Sup bwo
1342,Congratulations Coach!!
1344,then you never have to speak of it
1346,I thought the same thing.
1351,Did anyone tell them the game was only pushed back an hour?
1358,ima stop doing what i do so people can realize all the shit i do
1361,congratulations
1362,Yessir
1363,Local tv had this historic event on they were Great they ripped herr trumpler apart but In adult manner NOT a Donny rant with racist insults and whines
1366,Parents nowadays should punish their kids by forcing them to play a rage game. I'm definitely doing that in the future. They will not have fun. Cuz every time they lose their going to be very angry like @markiplier is whenever he plays pogostuck.
1368,Where there's shit there's always flies!
1369,How...what attachment?
1371,Thats Max lmfao
1373,Over here by East Brunswick
1382,FYCAG
1386,"Can you please just pay attention, this is my favorite movie and Speed Racer is about to win the Grand Prix and beat the corrupt system that killed his brother."
1387,And they walk off to a Curtis Mayfield song...MY HEART!!!
1388,"""ternuritas"""
1391,"Harris: We need more than a victory in Nov., We need a mandate that the last 3 and a half years do not represent who we are."
1396,Mitch Green
1398,Biden and Harris 2020
1400,About what
1402,A lot of shit going on... I could literally cry on cue
1409,im assuming a new battery is out of the question?
1412,"For the LAST time: BLM isn't an entity, it's a shared slogan over a belief. From this point forward, I want you to substitute ""BLM"" with ""Catholicism"" or ""Capitalism"" every time you type something. If it sounds overly broad or ignores differing opinions, delete it."
1415,Which testing site?
1416,I done did some dirt only God kno...
1417,Make sure you got a chicken ring sandwich two hours ago and filled the center with honey mustard
1419,Knew sooner than later those #Isles penalties would haunt them. #ALLCAPS
1420,"I found 3 spawners in Minecraft and they are all next to each other !!! 

WTF!!!!!"
1423,You two are killing it!! Thank you! I feel hope again.
1424,"Wait, that's happened to you? That's messed up. Smh"
1427,"NJ POPULATION 9.2 MILLION, DO THE MATH!!!FOR THIS YOU KILL THE ECONOMY"
1429,"Going to release some shit tonight, stay tuned"
1431,MY AC WORKSKSSSKSKSKSKS
1433,"self-absorbed brat.  If its not her way, it is no way."
1444,"CREEPY JOE,INAPPROPRIATE TOUCHING!"
1445,Did he yell at you for the quality of your teeth?
1446,"And yet your churches do not, and even the Vatican  regularly evades and even hides issues yet I do not see you preaching from the rafters to denounce Catholicism. Why is an appropriate response while independent groups sharing a slogan must meet a higher ethical threshold?"
1449,So understand this it toxic and not good for you
1456,"""The case against Donald Trump and Mike Pence is open and shut."""
1458,Hot and sexy
1461,It looks nice!
1462,#Single
1464,"Again, what do you think Chapters are? Or a movement is? It is NOT an organization, and you need to stop treating it like it is. Aside from a shared purpose, they are completely independent entities. Stop talking about them as if there's some kind of inter-protest accountability."
1469,A king!
1471,"I understand it fine. I also understand they have no moral or ethical obligation to speak to the struggles of other groups elsewhere, just as you as a catholic do not have an obligation to speak to the actions of other catholics either."
1472,New xbox out in November i hope I dont gotta buy it myself
1476,Was up by the main line doing a job today. SO MANY it was like a battlefield.
1480,"Both are great strong conservative woman what a ticket this would be....
@greggutfeld @DanaPerino @JesseBWatters @FoxNews @TheFive"
1482,Harris is showing how to be supportive of the top of the ticket without seeming complicit in a crime.
1484,All of them
1488,"Yet again, you're trying to push a ""silence is complicity"" narrative as if every protester is responsible for every other protester despite there being absolutely no central hierarchy. Your own catholic churches do not condemn each other and you actually have a hierarchy."
1491,Oh yeah dumpster been tweeting on DOT projects state by state minor stuff instead of tackling covid funding Doocy kissing Ass again
1493,EVERYTHING
1496,Pure athleticism
1498,yup im back
1503,Must score here!!!!
1504,Dior walker Scott wit it...
1507,true dat
1508,"Yes, the BLM Chicago chapter's riot which I told you already acts independently and which no chapter has endorsed. That's how concurrent independent protest works: You don't control what people on the other side of the US choose to do under the same banner."
1509,They will blame it on the tiny percent who were Jews and had no cultural or institutional power till a few decades ago
1513,i am the source this is in new jersey for past 20 years my window
1516,Cleared: Incident on #NJ20 NB at 21st Av
1522,Absolutely!!! Kamala is brilliant and Pence is a puppet of trumps #BidenHarris2020 #VoteBlueToSaveAmerica
1523,We are working on complying a stat sheet dating back to when the program started. Are you looking for stats for someone?
1524,I like dettt
1525,I do ad lib all my cell phone videos (the 60+ that most people know me for). My makeup ones with props on my other channel are more planned out
1530,I just added it
1532,"I just saw that @woobHQ is using it for their newest one, so it looks like it's live!"
1533,Cleared: Incident on #US46 EB from McBride Av/Little Falls Av to NJ 3
1538,F
1541,Where is the American Sign Language interpreter?
1543,It's not enough Governor Cuomo endorses abortion. Now he favors the elderly who don't pay taxes because they're retired and can leave this world at any moment
1544,Neymar trashed it today
1548,No se lo tuyo pero con que no se roben mi impuesto me conformo
1552,I had Atalanta ML but I cashed out right before PSG scored the 1st goal
1555,"You have more connection to the Vatican than chapters share in BLM -- You have a central authority with a rigorous process. BLM chapters are literally independent groups who share only an overriding goal. As for your request, which you could have done with a simple search: (1/2)"
1563,Also Kamala Harris did everything she could to keep THOUSANDS of people in jail over PETTY crimes marijuana
1570,@abc Where is the American Sign Language interpreter?
1575,"LMAO. Hope all is well in Vegas, Sean. See you in 2024!"
1583,Wow
1586,Checking into a hotel for about 2-3 days and never leaving the room until checkout time sounds like a plan.
1591,Passaic Park NJ Wed Aug 12th PM Forecast: TONIGHT Chance Of T-Storm Lo 71 THURSDAY Chance Of T-Storm Hi 89
1592,Passaic NJ Wed Aug 12th PM Forecast: TONIGHT Chance Of T-Storm Lo 71 THURSDAY Chance Of T-Storm Hi 89
1595,Biden is on his game.  This may be his strongest speech of the campaign.
1596,Will Doug Emhoff be known as the 'Second Gentleman' of the United States?  To me this implies the existence of a 'First Gentleman'.  Two centuries and then some of a First Lady and Second Lady made these questions moot.
1598,You tried Wayne?
1599,Dundee NJ Wed Aug 12th PM Forecast: TONIGHT Chance Of T-Storm Lo 71 THURSDAY Chance Of T-Storm Hi 89
1602,You sound like the kid who reminded the teacher to collect the homework
1605,#BidenHarris2020 will lead the way to a better country... Build Back Better!
1607,Congrats skhulu
1608,Gotta crawl before you ball
1614,Learn how to be a shoulder to lean on for your friends. I always listen to them and try to encourage and give the best advice I can.
1626,Neymar is really that fucking guyyyyy.
1627,Biden Harris 2020 herr trumpler and puppet pence are done Get resumes updated now
1628,Lol
1630,I did my own better one yesterday morning before this went up. It is on my YouTube page and I tweeted it yesterday
1631,Unironically correct
1635,Baba ovo kkkkkk
1637,@TemplesDaughter we can make it work. Lol
1641,Holy shit PSG almost chocked that
1642,LOL
